availability,size,total_sqft,bath,balcony,price,location
19-Dec,3 BHK,1254,3,2,60.8,Lalitpur
Ready To Move,1 BHK,600,1,0,60.8,Kathmandu
Ready To Move,1 Bedroom,660,1,0,76.8,Lalitpur
19-Sep,2 BHK,1330.74,2,2,146.864,Lalitpur
Ready To Move,8 Bedroom,600,9,,320,Kathmandu
Ready To Move,2 BHK,970,2,0,52.8,Lalitpur
20-Sep,2 BHK,1459,2,1,151.712,Kathmandu
Ready To Move,2 Bedroom,800,1,1,208,Bhaktapur
Ready To Move,2 BHK,869,2,1,57.6,Kathmandu
Ready To Move,2 BHK,1270,2,1,80,Bhaktapur
18-Mar,3 BHK,1670,3,1,158.4,Lalitpur
Ready To Move,3 BHK,2010,3,2,145.6,Lalitpur
Ready To Move,2 BHK,1185,2,2,120,Bhaktapur
Ready To Move,3 BHK,1600,2,3,120,Bhaktapur
Ready To Move,2 BHK,1200,2,2,70.4,Bhaktapur
20-Feb,4 Bedroom,3010 - 3410,,,307.2,Bhaktapur
Ready To Move,2 BHK,1500,2,2,296,Lalitpur
Ready To Move,6 Bedroom,1407,4,1,240,Lalitpur
Ready To Move,2 BHK,840,2,2,72,Lalitpur
Ready To Move,3 Bedroom,4395,3,2,384,Kathmandu
Ready To Move,2 BHK,845,2,1,88,Lalitpur
Ready To Move,4 Bedroom,5700,5,3,1040,Kathmandu
Ready To Move,2 BHK,1160,2,2,70.4,Lalitpur
Ready To Move,8 Bedroom,3000,8,0,224,Lalitpur
Ready To Move,2 BHK,1100,2,1,99.2,Bhaktapur
18-Apr,2 BHK,1140,2,3,68.8,Lalitpur
Ready To Move,2 BHK,1220,2,1,91.2,Bhaktapur
Ready To Move,8 Bedroom,1350,7,0,136,Kathmandu
Ready To Move,2 BHK,1005,2,1,58.688,Bhaktapur
Ready To Move,3 Bedroom,500,3,2,160,Kathmandu
20-Aug,2 BHK,1358,2,1,128.928,Kathmandu
Ready To Move,3 BHK,1569,3,1,161.6,Bhaktapur
18-Apr,2 BHK,1240,2,1,112,Kathmandu
Ready To Move,3 BHK,2089,3,2,224,Kathmandu
Ready To Move,2 BHK,1206,2,1,77.168,Lalitpur
Ready To Move,2 BHK,1150,2,3,64,Bhaktapur
Ready To Move,3 BHK,2511,3,3,328,Kathmandu
Ready To Move,2 BHK,460,1,0,35.2,Lalitpur
Ready To Move,6 Bedroom,4400,6,3,400,Kathmandu
Ready To Move,3 BHK,1660,2,2,168,Lalitpur
18-Oct,4 Bedroom,2957 - 3450,,,359.2,Lalitpur
19-Mar,2 BHK,1326,2,2,124.8,Lalitpur
Ready To Move,3 BHK,1325,2,2,97.28,Lalitpur
Ready To Move,3 BHK,1499,5,2,163.2,Kathmandu
Ready To Move,6 Bedroom,3000,7,2,336,Lalitpur
Ready To Move,3 BHK,1665,3,2,140.8,Bhaktapur
17-Sep,2 BHK,708,2,2,59.2,Kathmandu
Ready To Move,2 BHK,1060,2,2,92.896,Lalitpur
Ready To Move,6 Bedroom,710,6,3,256,Bhaktapur
Ready To Move,2 BHK,1000,2,2,112,Kathmandu
18-Dec,2 BHK,1000,2,1,46.208,Kathmandu
Ready To Move,3 BHK,1450,2,2,112,Kathmandu
Ready To Move,4 Bedroom,1200,4,2,248,Kathmandu
17-Aug,2 BHK,1296,2,3,128,Bhaktapur
Ready To Move,3 BHK,1540,3,2,144,Lalitpur
Ready To Move,4 Bedroom,2894,4,1,392,Bhaktapur
Ready To Move,3 BHK,1330,2,1,76.8,Lalitpur
Ready To Move,2 BHK,1200,2,1,104,Lalitpur
Ready To Move,3 Bedroom,1200,3,1,144,Lalitpur
Ready To Move,3 BHK,2502,3,3,220.8,Lalitpur
Ready To Move,2 BHK,650,1,1,27.2,Lalitpur
Ready To Move,3 Bedroom,2400,2,1,240,Lalitpur
Ready To Move,2 BHK,1007,2,2,68.8,Lalitpur
Ready To Move,2 BHK,1200,2,2,80,Lalitpur
Ready To Move,2 BHK,966,2,2,79.84,Kathmandu
Ready To Move,3 BHK,1630,2,1,156.8,Lalitpur
Ready To Move,3 BHK,1640,3,2,366.4,Lalitpur
Ready To Move,2 BHK,782,2,2,89.088,Bhaktapur
19-Apr,2 BHK,1260,2,2,106.848,Kathmandu
Ready To Move,3 BHK,1800,3,3,192,Kathmandu
Ready To Move,3 BHK,1413,2,2,120,Bhaktapur
Ready To Move,2 BHK,1116,2,1,83.056,Lalitpur
Ready To Move,3 BHK,1530,2,1,73.44,Kathmandu
Ready To Move,4 Bedroom,3700,4,1,360,Kathmandu
Ready To Move,3 Bedroom,2497,3,2,224,Kathmandu
Ready To Move,3 BHK,1540,2,3,102.4,Bhaktapur
18-Dec,3 BHK,1436,3,1,119.6,Bhaktapur
18-Jun,2 BHK,1100,2,2,120,Kathmandu
Ready To Move,2 Bedroom,276,3,3,36.8,Lalitpur
Ready To Move,3 BHK,1427,3,2,192,Lalitpur
Ready To Move,3 BHK,2061,3,1,320,Kathmandu
18-Mar,4 BHK,3067 - 8156,4,0,763.2,Bhaktapur
Ready To Move,4 BHK,2650,4,2,240,Bhaktapur
22-Dec,3 BHK,1282,2,2,109.632,Kathmandu
Ready To Move,2 BHK,1050,2,1,54.4,Kathmandu
Ready To Move,3 BHK,1600,3,2,104,Bhaktapur
22-Jan,2 BHK,945,2,1,86.4,Lalitpur
Ready To Move,2 BHK,1500,2,1,124.8,Lalitpur
Ready To Move,7 Bedroom,950,7,0,184,Kathmandu
Ready To Move,3 BHK,1870,3,3,176,Kathmandu
Ready To Move,3 Bedroom,1600,3,1,120,Kathmandu
Ready To Move,2 BHK,880,1,1,26.4,Kathmandu
Ready To Move,4 Bedroom,1200,4,0,336,Bhaktapur
Ready To Move,3 BHK,1535,3,2,132.8,Lalitpur
Ready To Move,2 BHK,950,2,1,91.2,Lalitpur
18-Aug,2 BHK,1360,2,1,104,Lalitpur
19-Mar,2 BHK,1042 - 1105,2,0,86.408,Lalitpur
18-May,3 BHK,1280,3,1,80.64,Bhaktapur
19-Jan,3 BHK,1260,2,2,136.08,Bhaktapur
Ready To Move,8 Bedroom,5000,8,,400,Lalitpur
19-Dec,5 BHK,3050,5,1,340.8,Lalitpur
Ready To Move,3 BHK,1563.05,3,1,168,Lalitpur
Ready To Move,2 BHK,1000,2,1,96,Lalitpur
17-Jul,2 BHK,1167,2,1,70.016,Kathmandu
Ready To Move,7 BHK,4000,7,2,360,Lalitpur
Ready To Move,3 BHK,1828,3,,176,Bhaktapur
Ready To Move,2 BHK,890,2,1,56,Lalitpur
Ready To Move,3 BHK,1612,3,3,74.784,Bhaktapur
Ready To Move,6 Bedroom,1034,5,,296,Bhaktapur
19-Apr,3 BHK,1710,4,2,146.096,Bhaktapur
Ready To Move,2 BHK,957,2,1,92.8,Bhaktapur
18-May,3 BHK,1250,2,3,70.4,Bhaktapur
Ready To Move,3 BHK,2795,4,,376,Lalitpur
Ready To Move,2 BHK,1125,2,2,80,Bhaktapur
18-Jul,2 BHK,1020,2,1,48.96,Kathmandu
Ready To Move,2 BHK,1200,2,2,80,Bhaktapur
Ready To Move,3 BHK,1735,3,3,216,Kathmandu
Ready To Move,3 BHK,2050,3,1,232,Lalitpur
Ready To Move,4 Bedroom,3750,4,0,1216,Lalitpur
Ready To Move,3 BHK,1350,2,3,76.8,Lalitpur
18-May,2 BHK,1063,2,1,51.2,Lalitpur
Ready To Move,3 BHK,1904,3,1,240,Bhaktapur
Ready To Move,4 Bedroom,4200,4,2,672,Kathmandu
Ready To Move,3 BHK,2000,3,1,280,Kathmandu
18-Dec,2 BHK,1145 - 1340,2,0,69.584,Kathmandu
Ready To Move,3 BHK,1425,2,2,120,Kathmandu
Ready To Move,3 BHK,1500,2,1,103.2,Bhaktapur
Ready To Move,2 BHK,1060,2,1,96,Kathmandu
Ready To Move,3 BHK,1470,2,2,112,Bhaktapur
Ready To Move,6 BHK,1300,6,0,158.4,Lalitpur
Ready To Move,1 BHK,450,1,1,17.6,Lalitpur
18-Apr,2 BHK,1152,2,1,103.2,Bhaktapur
Ready To Move,3 BHK,1350,2,1,89.6,Kathmandu
Ready To Move,3 BHK,1550,3,3,104,Kathmandu
Ready To Move,3 Bedroom,1500,3,2,160,Lalitpur
Ready To Move,5 Bedroom,600,3,2,136,Bhaktapur
Ready To Move,1 Bedroom,400,1,0,22.4,Bhaktapur
Ready To Move,1 BHK,705,1,2,107.2,Bhaktapur
Ready To Move,2 BHK,770,1,1,57.6,Bhaktapur
Ready To Move,2 BHK,1242,2,3,81.6,Bhaktapur
Ready To Move,3 BHK,1700,3,2,248,Bhaktapur
Ready To Move,3 BHK,2144,3,2,232,Lalitpur
21-Jun,3 BHK,1704,3,2,176,Bhaktapur
Ready To Move,2 BHK,1070,2,1,83.2,Bhaktapur
Ready To Move,3 Bedroom,1846,3,2,480,Bhaktapur
Ready To Move,2 BHK,1340,2,2,89.12,Bhaktapur
Ready To Move,2 BHK,1025,2,1,73.6,Lalitpur
Ready To Move,2 BHK,1015 - 1540,2,0,90.88,Lalitpur
Ready To Move,2 BHK,1200,2,2,83.2,Bhaktapur
18-Dec,4 Bedroom,2250,4,1,176,Lalitpur
Ready To Move,3 BHK,1550,2,3,128,Lalitpur
Ready To Move,4 Bedroom,1200,5,,520,Lalitpur
Ready To Move,7 Bedroom,1800,7,1,400,Kathmandu
Ready To Move,2 BHK,1200,2,2,96,Lalitpur
Ready To Move,2 BHK,1327,2,2,156.8,Bhaktapur
Ready To Move,2 BHK,1186,2,2,92.8,Kathmandu
Ready To Move,3 Bedroom,1783,3,1,184,Kathmandu
Ready To Move,3 BHK,1400,3,2,89.6,Bhaktapur
Ready To Move,2 BHK,980,2,1,76.8,Lalitpur
Ready To Move,2 BHK,1285,2,2,131.2,Lalitpur
Ready To Move,3 BHK,912,2,1,112,Kathmandu
Ready To Move,2 BHK,1225,2,2,76.16,Kathmandu
Ready To Move,2 BHK,1075,2,1,84.8,Bhaktapur
Ready To Move,3 BHK,1260,2,2,86.4,Lalitpur
Ready To Move,3 BHK,1282,2,2,77.92,Lalitpur
Ready To Move,3 BHK,1909,3,2,140.8,Bhaktapur
Ready To Move,2 BHK,1359,2,1,139.2,Lalitpur
Ready To Move,2 BHK,1207,2,2,69.6,Bhaktapur
Ready To Move,4 Bedroom,1736,6,0,304,Kathmandu
20-May,4 BHK,2850,4,1,684.8,Kathmandu
Ready To Move,3 BHK,1595,3,2,104,Bhaktapur
18-Jun,3 BHK,1798,3,2,142.4,Bhaktapur
Ready To Move,3 BHK,1475,3,2,125.264,Kathmandu
Ready To Move,3 BHK,1580,3,3,160,Kathmandu
Ready To Move,2 BHK,1295,2,1,104,Kathmandu
Ready To Move,6 Bedroom,3600,6,0,225.6,Bhaktapur
Ready To Move,1 BHK,589,1,1,43.2,Lalitpur
Ready To Move,3 BHK,1415,3,3,124.8,Bhaktapur
18-Dec,3 BHK,1787,3,2,157.264,Kathmandu
Ready To Move,3 BHK,1787,3,2,200,Kathmandu
Ready To Move,3 BHK,1475,2,3,144,Kathmandu
Ready To Move,4 BHK,2000,4,1,120.8,Lalitpur
19-Mar,2 BHK,984,2,1,70.848,Bhaktapur
19-Dec,3 BHK,1520 - 1740,,,119.712,Kathmandu
Ready To Move,3 BHK,2405,4,2,416,Kathmandu
Ready To Move,2 BHK,1080,2,2,115.2,Kathmandu
Ready To Move,2 Bedroom,1500,2,1,184,Bhaktapur
Ready To Move,3 BHK,1900,3,2,190.4,Lalitpur
19-Aug,2 BHK,805,2,1,35.424,Bhaktapur
Ready To Move,2 BHK,1153,2,2,90.24,Bhaktapur
Ready To Move,2 BHK,1148,2,2,96,Kathmandu
Ready To Move,2 BHK,1110,2,2,88,Lalitpur
Ready To Move,2 BHK,1100,2,2,67.2,Bhaktapur
Ready To Move,2 BHK,1290,2,2,176,Lalitpur
Ready To Move,3 BHK,1500,2,1,104,Bhaktapur
18-Apr,2 BHK,1080,2,2,62.4,Kathmandu
21-Jun,3 BHK,1933,3,1,206.4,Bhaktapur
Ready To Move,5 Bedroom,3500,5,2,240,Kathmandu
Ready To Move,2 BHK,1060,2,2,96,Kathmandu
18-Aug,1 BHK,645,1,1,26.32,Bhaktapur
Ready To Move,8 Bedroom,2600,8,2,288,Bhaktapur
18-Sep,1 BHK,645,1,1,26.32,Kathmandu
Ready To Move,3 BHK,1644,3,3,134.4,Bhaktapur
Ready To Move,2 BHK,1285,2,3,116,Kathmandu
Ready To Move,3 Bedroom,1200,3,1,144,Lalitpur
Ready To Move,2 BHK,910,2,1,64,Lalitpur
Ready To Move,3 BHK,1577,3,1,112,Kathmandu
17-May,3 Bedroom,4050,3,2,448,Bhaktapur
Ready To Move,3 BHK,2420,3,2,296,Lalitpur
Ready To Move,2 BHK,800,1,1,32,Bhaktapur
Ready To Move,2 BHK,1060,2,2,88,Bhaktapur
Ready To Move,2 BHK,1270,2,2,148.8,Kathmandu
18-Jun,2 BHK,900,2,2,36,Kathmandu
Ready To Move,2 Bedroom,1280,2,1,110.4,Kathmandu
Ready To Move,4 Bedroom,1200,2,0,152,Bhaktapur
Ready To Move,2 BHK,1025,2,2,57.6,Bhaktapur
17-Jun,2 BHK,1108,2,1,100.8,Bhaktapur
Ready To Move,5 Bedroom,1200,5,,272,Bhaktapur
Ready To Move,3 BHK,3045,3,2,272,Bhaktapur
Ready To Move,4 Bedroom,2900,3,2,480,Bhaktapur
Ready To Move,3 BHK,1500,3,2,120.8,Lalitpur
Ready To Move,2 BHK,1295,2,2,70.24,Kathmandu
Ready To Move,2 BHK,1162,2,1,95.84,Bhaktapur
Ready To Move,2 BHK,1035,2,2,78.72,Lalitpur
Ready To Move,4 Bedroom,1600,4,0,84.48,Bhaktapur
Ready To Move,3 BHK,1464,3,2,73.6,Bhaktapur
18-Oct,3 BHK,1866,2,2,98.528,Kathmandu
Ready To Move,2 BHK,700,1,1,41.6,Kathmandu
Ready To Move,3 BHK,1804,3,2,192,Bhaktapur
Ready To Move,2 BHK,913,2,1,51.2,Kathmandu
21-Dec,3 BHK,1868,3,2,209.6,Bhaktapur
Ready To Move,2 BHK,883,2,1,72,Kathmandu
Ready To Move,2 Bedroom,900,2,1,176,Bhaktapur
Ready To Move,3 BHK,1664,2,3,118.32,Kathmandu
Ready To Move,3 BHK,2026,3,2,211.2,Kathmandu
Ready To Move,2 BHK,1210,2,1,129.44,Lalitpur
Ready To Move,4 Bedroom,4111,4,2,400,Lalitpur
Ready To Move,3 BHK,1762,3,3,146.32,Lalitpur
Ready To Move,3 BHK,1252,3,3,88,Lalitpur
Ready To Move,2 BHK,861,2,1,55.2,Bhaktapur
Ready To Move,3 BHK,1420,2,1,160,Kathmandu
Ready To Move,6 Bedroom,1450,6,0,400,Kathmandu
Ready To Move,3 BHK,1490,3,1,126.08,Kathmandu
Ready To Move,3 BHK,1075,2,1,73.6,Bhaktapur
18-Aug,3 BHK,1425,2,2,150.4,Lalitpur
Ready To Move,2 BHK,1200,2,1,64,Bhaktapur
Ready To Move,3 BHK,1280,2,2,89.6,Bhaktapur
Ready To Move,2 BHK,1084,2,2,80,Kathmandu
18-Jul,2 BHK,1015,2,2,41.408,Lalitpur
21-May,2 BHK,1017,2,1,82,Bhaktapur
Ready To Move,2 BHK,1027,2,2,70.4,Kathmandu
Ready To Move,2 BHK,1069,2,2,72,Bhaktapur
Ready To Move,2 BHK,1349,2,1,157.12,Lalitpur
Ready To Move,2 BHK,1005,2,1,80,Bhaktapur
Ready To Move,2 BHK,1417,2,3,120,Lalitpur
18-Jan,3 Bedroom,1475,3,1,156.8,Bhaktapur
Ready To Move,2 BHK,950,2,2,75.2,Lalitpur
Ready To Move,4 BHK,2000,4,0,192,Bhaktapur
Ready To Move,3 Bedroom,880,3,1,224,Bhaktapur
Ready To Move,4 BHK,1863,3,2,166.4,Lalitpur
Ready To Move,2 BHK,1010,2,1,47.2,Lalitpur
Ready To Move,3 BHK,1425,2,1,112,Lalitpur
Ready To Move,3 BHK,1450,3,0,160,Kathmandu
Ready To Move,3 BHK,1847,3,2,168,Bhaktapur
Ready To Move,2 BHK,1100,2,3,72,Bhaktapur
20-Dec,1 BHK,525,1,1,41.6,Lalitpur
Ready To Move,3 BHK,1665,3,2,152,Kathmandu
Ready To Move,4 BHK,1664,4,3,104,Kathmandu
Ready To Move,3 BHK,1850,3,3,240,Kathmandu
Ready To Move,2 BHK,1438,2,3,160,Kathmandu
Ready To Move,3 BHK,1560,3,3,184,Bhaktapur
18-Apr,2 BHK,1350,2,1,88.88,Bhaktapur
Ready To Move,3 BHK,1550,3,3,107.2,Lalitpur
18-Apr,2 BHK,1140,2,2,74.4,Lalitpur
Ready To Move,5 Bedroom,1200,5,2,288,Lalitpur
18-Dec,2 BHK,850,2,2,43.2,Lalitpur
Ready To Move,2 BHK,1280,2,2,120,Kathmandu
Ready To Move,2 BHK,1170,2,2,83.2,Lalitpur
Ready To Move,2 BHK,1113,2,1,81.6,Lalitpur
Ready To Move,2 BHK,1385,2,1,132.944,Bhaktapur
18-Apr,2 BHK,1128,2,1,104,Bhaktapur
Ready To Move,2 Bedroom,1200,2,2,204.8,Bhaktapur
Ready To Move,4 Bedroom,1200,4,3,264,Kathmandu
Ready To Move,3 BHK,2390,3,2,664,Kathmandu
Ready To Move,4 Bedroom,2400,4,1,640,Kathmandu
Ready To Move,3 BHK,1464,3,2,89.6,Bhaktapur
Ready To Move,2 BHK,1200,2,2,88,Bhaktapur
Ready To Move,2 BHK,1200,2,2,83.2,Lalitpur
Ready To Move,3 BHK,1150,2,1,88,Lalitpur
Ready To Move,3 BHK,1645,3,2,152,Bhaktapur
20-Mar,2 BHK,1000,2,1,107.2,Lalitpur
Ready To Move,4 Bedroom,2650,4,2,316.8,Lalitpur
Ready To Move,2 BHK,1192,2,2,118.4,Lalitpur
Ready To Move,3 BHK,2135,3,2,344,Kathmandu
19-Dec,2 BHK,1173,2,1,92.8,Bhaktapur
Ready To Move,2 BHK,1020,2,2,72,Kathmandu
Ready To Move,4 BHK,3122,6,2,368,Bhaktapur
Ready To Move,3 BHK,1600,3,3,102.4,Lalitpur
18-Mar,2 Bedroom,1200,2,0,126.4,Lalitpur
Ready To Move,2 BHK,1230,2,3,76.8,Kathmandu
Ready To Move,2 BHK,1250,2,2,64,Lalitpur
Ready To Move,2 BHK,1325,2,2,121.6,Lalitpur
Ready To Move,3 BHK,1850,3,1,240,Bhaktapur
21-Dec,1 BHK,525,,,34.448,Bhaktapur
Ready To Move,2 BHK,1200,2,2,104,Kathmandu
Ready To Move,3 Bedroom,1350,2,0,224,Bhaktapur
18-Jun,3 BHK,1260,3,1,78.976,Lalitpur
Ready To Move,3 BHK,1800,3,0,240,Lalitpur
18-Dec,3 Bedroom,11,3,2,118.4,Kathmandu
Ready To Move,2 BHK,1100,2,1,69.2,Kathmandu
Ready To Move,2 BHK,1508,2,1,123.2,Bhaktapur
Ready To Move,3 BHK,1592,3,2,120,Bhaktapur
Ready To Move,2 BHK,1388,2,3,91.2,Lalitpur
18-May,1 BHK,630,1,1,45.36,Bhaktapur
Ready To Move,3 Bedroom,2000,3,2,584,Bhaktapur
Ready To Move,3 BHK,1762,3,1,200,Bhaktapur
21-Dec,2 BHK,950,2,2,80,Bhaktapur
Ready To Move,4 BHK,3252,5,3,536,Lalitpur
18-Aug,2 BHK,1116,2,1,80,Kathmandu
Ready To Move,2 BHK,1308,2,2,142.464,Lalitpur
Ready To Move,3 BHK,1200,3,0,144,Lalitpur
Ready To Move,4 Bedroom,1500,4,2,368,Lalitpur
Ready To Move,1 BHK,500,1,1,29.6,Bhaktapur
Ready To Move,2 BHK,1075,2,1,83.2,Kathmandu
18-Mar,1 BHK,530,1,0,18.656,Lalitpur
Ready To Move,2 BHK,1205,2,3,105.6,Lalitpur
Ready To Move,2 BHK,1075,2,2,96,Kathmandu
Ready To Move,2 BHK,930,2,2,62.4,Bhaktapur
Ready To Move,2 BHK,1380,2,1,96,Lalitpur
Ready To Move,4 BHK,2483,5,2,339.2,Bhaktapur
Ready To Move,2 BHK,1166,2,2,88,Bhaktapur
Ready To Move,2 BHK,1050,2,1,104,Kathmandu
19-Mar,3 BHK,2023.71,3,2,440,Bhaktapur
Ready To Move,2 BHK,1200,2,2,74.88,Bhaktapur
Ready To Move,3 BHK,1600,2,1,172.8,Bhaktapur
Ready To Move,3 BHK,1935,3,2,176,Kathmandu
18-May,1 BHK,451,1,0,47.84,Kathmandu
Ready To Move,3 BHK,1800,3,2,152,Bhaktapur
18-May,3 BHK,1400,3,0,123.2,Kathmandu
Ready To Move,3 BHK,1801,3,2,184,Kathmandu
Ready To Move,2 BHK,1451,2,,144,Lalitpur
19-Jan,2 Bedroom,1200,1,1,57.6,Lalitpur
Ready To Move,2 BHK,1160,2,2,70.4,Lalitpur
Ready To Move,2 BHK,1000,2,1,40,Bhaktapur
Ready To Move,2 BHK,950,2,1,64,Bhaktapur
20-Dec,3 BHK,1629,3,2,126.4,Bhaktapur
Ready To Move,3 BHK,1580,2,0,214.4,Lalitpur
21-Jun,3 BHK,1826,3,2,193.6,Lalitpur
Ready To Move,2 BHK,1245,2,1,150.4,Lalitpur
Ready To Move,2 BHK,1145,2,2,73.264,Bhaktapur
Ready To Move,2 BHK,825,2,1,52.8,Lalitpur
18-Aug,3 BHK,1693,3,3,172.8,Bhaktapur
Ready To Move,2 BHK,1113.27,2,2,84.8,Kathmandu
Ready To Move,2 BHK,1460,2,1,92.8,Kathmandu
Ready To Move,2 BHK,1050,2,1,51.2,Kathmandu
Ready To Move,2 BHK,1260,2,2,88,Lalitpur
Ready To Move,6 BHK,700,3,,192,Kathmandu
Ready To Move,2 BHK,1656,2,1,192,Lalitpur
Ready To Move,3 BHK,1208,3,1,72,Bhaktapur
Ready To Move,3 BHK,1910,3,2,257.6,Bhaktapur
Ready To Move,4 BHK,3252,4,1,368,Lalitpur
Ready To Move,2 Bedroom,1200,2,1,104,Lalitpur
Ready To Move,4 BHK,1200,4,1,280,Bhaktapur
Ready To Move,2 BHK,1175,2,1,131.2,Kathmandu
Ready To Move,2 Bedroom,1000,2,0,264,Kathmandu
Ready To Move,4 Bedroom,1200,2,0,200,Lalitpur
Ready To Move,3 BHK,2390,3,2,656,Lalitpur
19-Jan,7 BHK,12000,6,3,3520,Kathmandu
Ready To Move,2 Bedroom,550,1,1,99.2,Kathmandu
Ready To Move,1 BHK,34.46Sq. Meter,1,0,29.6,Kathmandu
Ready To Move,2 BHK,1185,2,,60.8,Lalitpur
Ready To Move,2 BHK,750,2,1,60.8,Bhaktapur
Ready To Move,6 Bedroom,1200,7,3,400,Kathmandu
Ready To Move,3 BHK,1550,3,3,103.2,Kathmandu
Ready To Move,3 BHK,1760,3,2,140.8,Lalitpur
Ready To Move,2 BHK,1125,2,2,99.2,Kathmandu
Ready To Move,3 Bedroom,1350,3,2,240,Lalitpur
17-Dec,2 Bedroom,1000,2,1,88,Lalitpur
18-Aug,2 BHK,1090,2,2,50.368,Kathmandu
Ready To Move,2 Bedroom,1200,2,0,96,Bhaktapur
Ready To Move,3 BHK,1991,4,2,164.8,Lalitpur
18-Oct,2 BHK,1060,2,1,42.4,Lalitpur
Ready To Move,2 BHK,1105,2,1,120,Bhaktapur
Ready To Move,2 BHK,985,2,2,107.2,Kathmandu
Ready To Move,6 Bedroom,1533,5,3,136,Kathmandu
17-Jul,3 BHK,1590,3,2,126.4,Lalitpur
Ready To Move,2 BHK,1120,2,2,88,Lalitpur
Ready To Move,2 BHK,1069,2,1,88,Kathmandu
Ready To Move,3 BHK,1933,3,2,224,Lalitpur
16-Mar,2 BHK,1194,2,0,110.4,Kathmandu
Ready To Move,2 BHK,1150,2,3,110.4,Lalitpur
Ready To Move,2 BHK,1240,2,2,75.392,Kathmandu
Ready To Move,2 BHK,1419,2,2,76.96,Kathmandu
Ready To Move,8 Bedroom,1200,8,,400,Bhaktapur
Ready To Move,3 BHK,2150,4,,384,Kathmandu
Ready To Move,3 BHK,1450,3,2,88,Bhaktapur
18-Jul,3 BHK,1630,3,2,109.264,Lalitpur
Ready To Move,2 BHK,708,1,1,64,Lalitpur
Ready To Move,3 Bedroom,1000,4,3,176,Kathmandu
Ready To Move,4 Bedroom,11890,4,3,1120,Kathmandu
Ready To Move,2 BHK,1250,2,1,121.6,Lalitpur
Ready To Move,3 BHK,1400,2,1,152,Bhaktapur
Ready To Move,3 BHK,1670,2,3,91.2,Kathmandu
Ready To Move,3 BHK,1750,3,2,160,Lalitpur
Ready To Move,2 BHK,1404,2,1,113.6,Bhaktapur
Ready To Move,3 BHK,1715,2,2,152,Bhaktapur
18-Apr,1 BHK,630,1,1,55.44,Kathmandu
Ready To Move,3 BHK,1752.12,3,2,216,Lalitpur
Ready To Move,3 BHK,1650,3,2,124.8,Lalitpur
Ready To Move,2 BHK,1295,2,1,88.752,Kathmandu
Ready To Move,3 Bedroom,1800,3,2,403.2,Bhaktapur
18-Sep,2 BHK,1346,2,1,118.448,Lalitpur
Ready To Move,4 Bedroom,1200,4,2,320,Kathmandu
Ready To Move,2 BHK,1150,2,2,88,Bhaktapur
Ready To Move,4 Bedroom,3309,4,3,520,Kathmandu
18-May,3 BHK,1190,2,2,48.56,Kathmandu
Ready To Move,3 BHK,1620,3,2,156.8,Kathmandu
