bath,balcony,price,total_sqft_int,bhk,location_Bhaktapur,location_Kathmandu,location_Lalitpur,availability_Apr,availability_Aug,availability_Dec,availability_Feb,availability_Jan,availability_Jul,availability_Jun,availability_May,availability_Nov,availability_Oct,availability_Ready To Move,availability_Sep,availability_This Month
1.0,1,29.6,416,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,1,356.8,2791,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,1,112.0,1125,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,152.0,1374,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,152.0,1445,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,57.6,711,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,3,160.0,1720,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,136.0,1200,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,89.6,1050,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,40.0,469,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,64.0,750,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,128.0,1180,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.0,1,416.0,3385,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,2,320.0,2200,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,208.0,1702,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,174.4,1683,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,192.0,1750,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,157.6,1092,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,2,145.6,1640,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.0,1,188.8,1688,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.0,2,259.2,2330,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,95.92,1155,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,2,248.0,2760,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,1,88.0,1070,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,92.784,735,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,208.0,1750,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,143.376,1779,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,240.0,1975,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,132.0,1618,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,243.2,2181,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,179.2,1779,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,52.8,650,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,156.8,1349,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,312.0,2830,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,3,480.0,3670,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,152.0,1705,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,132.8,1447,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,1,110.0,1128,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,94.296,1122,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,2,138.528,1665,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,147.2,1567,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,152.0,1740,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,64.0,630,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,2,92.8,1100,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,0,152.0,1200,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,128.0,1385,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,1,89.248,1005,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,1,240.0,2400,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,200.0,2225,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,72.0,793,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,92.8,884,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,158.224,1045,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,3,400.0,2825,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,144.0,1799,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,152.0,1500,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.0,1,432.0,3206,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,29.456,657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,99.2,1113,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,138.416,1396,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1,174.4,1891,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,58.96,665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,117.6,1175,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,1,103.2,1246,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,1,184.0,2169,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,168.0,1464,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,118.4,1290,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,2,225.6,2557,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,1,424.0,3100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,153.6,1420,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,90.0,750,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,107.808,1225,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,2,216.0,2144,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,163.2,1691,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,2,168.0,1128,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,232.0,1865,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,280.0,1800,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,152.0,1360,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.0,3,640.0,6000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,256.0,1937,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,272.0,2400,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,192.0,1897,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,107.2,996,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,72.0,697,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.0,2,480.0,3335,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,120.0,1300,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,104.0,950,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,192.0,1475,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,96.0,1192,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3,640.0,5000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,109.44,1200,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,32.0,500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,24.0,485,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,120.0,1180,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,160.0,1586,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,2,141.6,1565,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,62.4,630,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,136.0,1542,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,0,352.0,2750,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,137.6,1535,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,160.0,1500,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,76.8,925,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,110.4,980,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,78.4,940,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,140.8,1515,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,238.4,2060,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.0,1,478.4,5000,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,248.0,1835,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,148.8,1519,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,88.0,785,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,176.0,1700,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,102.4,1300,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,2,160.0,1654,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,26.4,440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,152.0,1614,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,0,144.0,1200,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,156.8,1440,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,60.8,650,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,51.2,764,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,1,88.0,1030,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,96.0,1100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,104.0,1200,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,128.0,1080,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.0,1,320.0,2280,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,136.0,1360,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,1,120.0,1157,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,2,203.2,1790,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1,38.4,628,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,200.0,1765,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,0,176.0,1650,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,110.544,804,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,2,105.6,1200,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,152.08,1272,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,2,177.6,1610,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,179.2,1297,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,106.4,1012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,0,336.0,3750,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,401.6,2710,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,288.0,3040,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,240.0,2400,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,3,160.0,1290,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,108.8,1135,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,121.232,1512,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.0,3,320.0,3198,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,31.2,520,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,147.2,1482,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,0,256.0,2400,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,48.0,551,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,1,125.6,1205,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,200.0,1745,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,99.2,1060,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,0,112.0,1168,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,150.288,1515,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,2,342.4,2700,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,67.2,595,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,0,503.2,4624,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0,48.0,540,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,109.568,1245,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,137.6,1170,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,149.376,1330,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.0,2,115.2,1460,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,109.6,1200,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,1,99.2,1050,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,382.4,2611,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,2,158.176,1163,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,152.0,1418,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,217.6,1420,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,1,331.2,2774,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,2,75.2,914,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,133.968,1482,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,2,203.2,1724,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,2,88.0,927,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,2,384.0,2800,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,128.0,1250,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,176.0,1300,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,97.392,1026,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,2,190.4,1691,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,92.8,1020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,160.0,2000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,176.0,1614,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,0,152.0,1200,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,0,232.0,1632,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,104.8,1041,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,120.0,1200,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,121.6,1174,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,123.2,1050,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,344.0,2479,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,192.0,1925,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,144.0,1354,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,80.0,688,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,171.2,1331,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1,100.0,686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,152.0,1200,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,1,176.0,1685,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,208.0,1700,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,155.2,1699,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,2,48.0,765,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,151.984,1521,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,216.0,1900,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,112.0,1270,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,3,246.4,2045,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,156.8,1490,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,58.96,671,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,200.0,2017,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,161.6,1703,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,120.0,1420,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,104.0,1100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0,160.0,1350,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,158.4,1546,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,144.0,1424,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,128.0,1150,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,104.0,1185,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,168.0,1297,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2.0,1,81.264,950,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,0,153.304,1277,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,142.4,1571,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,2,288.0,2200,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,80.0,950,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
